No,キー,組織,学校,都道府県,市区町村,校種
96,ninomiya-junior-high-school.edumap.jp,22:二宮町教育委員会,58:二宮町立二宮中学校,14:神奈川県,143421:二宮町,中学校
97,ninomiyanishi-junior-high-school.edumap.jp,22:二宮町教育委員会,59:二宮町立二宮西中学校,14:神奈川県,143421:二宮町,中学校
98,ninomiya-elementary-school.edumap.jp,22:二宮町教育委員会,55:二宮町立二宮小学校,14:神奈川県,143421:二宮町,小学校
99,issiki-elementry-school.edumap.jp,22:二宮町教育委員会,56:二宮町立一色小学校,14:神奈川県,143421:二宮町,小学校
100,yamanishi-erementary-school.edumap.jp,22:二宮町教育委員会,57:二宮町立山西小学校,14:神奈川県,143421:二宮町,小学校
101,isshiki-elementary-school.edumap.jp,22:二宮町教育委員会,228:二宮町立一色小学校,14:神奈川県,143421:二宮町,小学校
102,misatojh.edumap.jp,24:美里町立美里中学校,73:美里町立美里中学校,11:埼玉県,113816:美里町,中学校
103,daiichi-j-warabi.edumap.jp,25:蕨市教育委員会,72:蕨市立第一中学校,11:埼玉県,112232:蕨市,中学校
104,higashi-j-warabi.edumap.jp,25:蕨市教育委員会,318:蕨市立東中学校,11:埼玉県,112232:蕨市,中学校
105,tsukagoshi-e-warabi.edumap.jp,25:蕨市教育委員会,75:蕨市立塚越小学校,11:埼玉県,112232:蕨市,小学校
106,chuo-e-warabi.edumap.jp,25:蕨市教育委員会,76:蕨市立中央小学校,11:埼玉県,112232:蕨市,小学校
